============================
K: 200
----------------------------
Cluster: 0, latitude:  50.959442, longitude: 4.481220
Cluster: 1, latitude:  51.151508, longitude: 3.271551
Cluster: 2, latitude:  50.397430, longitude: 4.147469
Cluster: 3, latitude:  51.213226, longitude: 3.696163
Cluster: 4, latitude:  50.605572, longitude: 4.907210
Cluster: 5, latitude:  50.720245, longitude: 5.316181
Cluster: 6, latitude:  50.633667, longitude: 3.722415
Cluster: 7, latitude:  50.883381, longitude: 4.592950
Cluster: 8, latitude:  50.834763, longitude: 3.412428
Cluster: 9, latitude:  51.030746, longitude: 4.918406
Cluster: 10, latitude:  51.117558, longitude: 4.697649
Cluster: 11, latitude:  50.319580, longitude: 4.313601
Cluster: 12, latitude:  50.920517, longitude: 5.144904
Cluster: 13, latitude:  50.752724, longitude: 4.474891
Cluster: 14, latitude:  50.991001, longitude: 4.218791
Cluster: 15, latitude:  50.457138, longitude: 4.978882
Cluster: 16, latitude:  50.572849, longitude: 5.304502
Cluster: 17, latitude:  50.819988, longitude: 4.955478
Cluster: 18, latitude:  50.594433, longitude: 5.144551
Cluster: 19, latitude:  51.216595, longitude: 3.270931
Cluster: 20, latitude:  50.402130, longitude: 5.516859
Cluster: 21, latitude:  51.029499, longitude: 4.476209
Cluster: 22, latitude:  50.994827, longitude: 5.402095
Cluster: 23, latitude:  51.158520, longitude: 4.347750
Cluster: 24, latitude:  51.163876, longitude: 4.859142
Cluster: 25, latitude:  50.660469, longitude: 4.418656
Cluster: 26, latitude:  50.639870, longitude: 4.148756
Cluster: 27, latitude:  51.084114, longitude: 3.644824
Cluster: 28, latitude:  50.807613, longitude: 5.148852
Cluster: 29, latitude:  50.727165, longitude: 4.842782
Cluster: 30, latitude:  50.766510, longitude: 4.537879
Cluster: 31, latitude:  51.123203, longitude: 5.468188
Cluster: 32, latitude:  51.179626, longitude: 3.526841
Cluster: 33, latitude:  50.497185, longitude: 5.248792
Cluster: 34, latitude:  50.799965, longitude: 3.609562
Cluster: 35, latitude:  49.559402, longitude: 5.837813
Cluster: 36, latitude:  50.868832, longitude: 4.350757
Cluster: 37, latitude:  50.846066, longitude: 3.314100
Cluster: 38, latitude:  51.046909, longitude: 4.299356
Cluster: 39, latitude:  50.882355, longitude: 4.713958
Cluster: 40, latitude:  50.754833, longitude: 4.353624
Cluster: 41, latitude:  50.447514, longitude: 4.849258
Cluster: 42, latitude:  51.220951, longitude: 5.430385
Cluster: 43, latitude:  50.467834, longitude: 4.208554
Cluster: 44, latitude:  50.562408, longitude: 3.487137
Cluster: 45, latitude:  50.571392, longitude: 5.498410
Cluster: 46, latitude:  50.999634, longitude: 2.991487
Cluster: 47, latitude:  50.694626, longitude: 5.173460
Cluster: 48, latitude:  50.632706, longitude: 5.581429
Cluster: 49, latitude:  50.448845, longitude: 4.354258
Cluster: 50, latitude:  51.148178, longitude: 3.827408
Cluster: 51, latitude:  49.895393, longitude: 4.977114
Cluster: 52, latitude:  51.204700, longitude: 4.380650
Cluster: 53, latitude:  51.004829, longitude: 3.976249
Cluster: 54, latitude:  50.920212, longitude: 3.944123
Cluster: 55, latitude:  50.660412, longitude: 4.368029
Cluster: 56, latitude:  50.683041, longitude: 4.314629
Cluster: 57, latitude:  50.120682, longitude: 4.520150
Cluster: 58, latitude:  50.777500, longitude: 3.928770
Cluster: 59, latitude:  51.102451, longitude: 4.053178
Cluster: 60, latitude:  50.594112, longitude: 4.325869
Cluster: 61, latitude:  50.980072, longitude: 5.521277
Cluster: 62, latitude:  51.050297, longitude: 4.367842
Cluster: 63, latitude:  50.581314, longitude: 4.609749
Cluster: 64, latitude:  50.946705, longitude: 4.059506
Cluster: 65, latitude:  50.594257, longitude: 5.531179
Cluster: 66, latitude:  50.906788, longitude: 4.023839
Cluster: 67, latitude:  50.697063, longitude: 3.279874
Cluster: 68, latitude:  51.076134, longitude: 3.395556
Cluster: 69, latitude:  50.090591, longitude: 4.965935
Cluster: 70, latitude:  50.884422, longitude: 4.859775
Cluster: 71, latitude:  51.041401, longitude: 3.704946
Cluster: 72, latitude:  50.820808, longitude: 4.406405
Cluster: 73, latitude:  50.428020, longitude: 3.784462
Cluster: 74, latitude:  50.808273, longitude: 5.644446
Cluster: 75, latitude:  51.313484, longitude: 4.936117
Cluster: 76, latitude:  50.421562, longitude: 4.681963
Cluster: 77, latitude:  51.179958, longitude: 4.412922
Cluster: 78, latitude:  50.071335, longitude: 5.352553
Cluster: 79, latitude:  50.472031, longitude: 4.270585
Cluster: 80, latitude:  50.908878, longitude: 3.772378
Cluster: 81, latitude:  50.968658, longitude: 3.494124
Cluster: 82, latitude:  51.203655, longitude: 3.207195
Cluster: 83, latitude:  51.183216, longitude: 3.059940
Cluster: 84, latitude:  50.732857, longitude: 5.739829
Cluster: 85, latitude:  51.105545, longitude: 4.360729
Cluster: 86, latitude:  51.171711, longitude: 5.100810
Cluster: 87, latitude:  50.072292, longitude: 4.280889
Cluster: 88, latitude:  51.201176, longitude: 4.257784
Cluster: 89, latitude:  50.834976, longitude: 4.462369
Cluster: 90, latitude:  50.839409, longitude: 5.244462
Cluster: 91, latitude:  50.729317, longitude: 5.053710
Cluster: 92, latitude:  50.898655, longitude: 2.707892
Cluster: 93, latitude:  51.262836, longitude: 4.498058
Cluster: 94, latitude:  51.136597, longitude: 4.543118
Cluster: 95, latitude:  50.996204, longitude: 3.848009
Cluster: 96, latitude:  50.268417, longitude: 5.139293
Cluster: 97, latitude:  50.462166, longitude: 3.983645
Cluster: 98, latitude:  50.828587, longitude: 4.350253
Cluster: 99, latitude:  51.315987, longitude: 4.775337
Cluster: 100, latitude:  50.363087, longitude: 4.431378
Cluster: 101, latitude:  51.204872, longitude: 4.455281
Cluster: 102, latitude:  50.501591, longitude: 4.412232
Cluster: 103, latitude:  51.220325, longitude: 5.530149
Cluster: 104, latitude:  50.893627, longitude: 4.520919
Cluster: 105, latitude:  51.040394, longitude: 5.262015
Cluster: 106, latitude:  51.369362, longitude: 4.592083
Cluster: 107, latitude:  50.657738, longitude: 5.564951
Cluster: 108, latitude:  50.719273, longitude: 5.502841
Cluster: 109, latitude:  51.172939, longitude: 4.148926
Cluster: 110, latitude:  50.614075, longitude: 3.386531
Cluster: 111, latitude:  50.606663, longitude: 5.613674
Cluster: 112, latitude:  50.972538, longitude: 4.148731
Cluster: 113, latitude:  50.881489, longitude: 4.302320
Cluster: 114, latitude:  50.595955, longitude: 5.834779
Cluster: 115, latitude:  50.512245, longitude: 3.657003
Cluster: 116, latitude:  50.507439, longitude: 5.092791
Cluster: 117, latitude:  50.320255, longitude: 5.724823
Cluster: 118, latitude:  50.710697, longitude: 4.383502
Cluster: 119, latitude:  50.510525, longitude: 4.150703
Cluster: 120, latitude:  51.076786, longitude: 4.178895
Cluster: 121, latitude:  51.073177, longitude: 3.720772
Cluster: 122, latitude:  50.405472, longitude: 3.694319
Cluster: 123, latitude:  50.831741, longitude: 4.266379
Cluster: 124, latitude:  50.618622, longitude: 5.662344
Cluster: 125, latitude:  50.523525, longitude: 5.672536
Cluster: 126, latitude:  50.575592, longitude: 5.626527
Cluster: 127, latitude:  50.995083, longitude: 4.810351
Cluster: 128, latitude:  50.920574, longitude: 3.141584
Cluster: 129, latitude:  51.086376, longitude: 5.596157
Cluster: 130, latitude:  50.850895, longitude: 5.536525
Cluster: 131, latitude:  50.631153, longitude: 5.549640
